,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
51,INIP,-2.156,other,"ATM,CHEK1,CHEK2,CREB1,E2f,E2F3,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,ING1,INIP,LAMTOR5,MAPK1,MAPK12,MDM4,NBN,NFkB (complex),PLK1,RB1,RELA,SIAH2,SMC3,SRC,TP53,VCP,ZEB1",3,Activated,2.92,1.36e-15,0.0083,"ABCC1,AK1,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DOCK8,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,EPS15,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,LPL,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PIN1,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RGS1,RPS27L,RRAD,S100A4,S100A8,SAR1A,SERPINH1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,XPO4,YWHAH,ZFP91",152 (28),25,24hr_PROT_causal_unique,True,
52,mir-203, ,microRNA,"Akt,AKT1,ERK1/2,JAK1,Mapk,MAPK1,mir-203,RHOA,STAT1,STAT3,STAT5a/b,TP63",3,Inhibited,-4.383,1.5199999999999998e-15,0.0024,"APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,AURKA,B2M,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX58,DDX60,DNMT1,EHD1,EIF2AK2,ENG,ERAP1,ERP29,EZR,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,LAP3,MKI67,MMP2,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,PNPT1,POSTN,PRPF4,PSIP1,PSME2,PTPN2,RAB4B,RCC1,RFTN1,RHOC,S100A4,S100A8,SLC2A1,SOD1,SPRY2,STAT2,STIP1,TAP1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP",115 (12),11,24hr_PROT_causal_unique,True,
53,RC3H1, ,enzyme,RC3H1,1,Inhibited,-3.9619999999999997,1.88e-15,0.0001,"APOBEC3C,CD44,DDX58,FOSL1,HLA-F,HSPB1,IFI16,IFI44L,IFIT1,IFIT2,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,PARP9,RSAD2,STAT1,STAT2,TRIM21,TRIM25,TRIM56",23 (1),1,24hr_PROT_causal_unique,True,True
55,ALB,-1.088,transporter,"ALB,DUSP1,EGFR,ELK1,LIN28A,MAPK1,MAPK14,MAPK3,NFkB (complex),RARA",3,Inhibited,-2.915,2.07e-15,0.0007,"ABCB1,ANO10,ARPC5L,AURKA,BAX,C3,CCL4,CDK1,CEBPB,CHI3L1,CP,CTSS,DAB2,DDX58,DNAJC21,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,FOSL1,GBP1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,JUN,KYNU,LAP3,LGALS1,LUM,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PGLS,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RELA,RSAD2,SAMD9,SAR1A,SFPQ,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAPBP,TARDBP,TDO2,TGM2,THBD,THBS1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",99 (10),8,24hr_PROT_causal_unique,True,
60,COL18A1,0.392,other,"Akt,BCL2,BIN1,CCNH,COL18A1,DUSP1,ESR1,ETS1,EZH2,Focal adhesion kinase,HSF1,ID1,IGF1R,IRF3,JAK1,JAK2,Jnk,JUN,LIN28A,MAPK1,MAPK3,MMP12,MTOR,MYC,NANOG,NCOA3,NR4A1,NRF1,P38 MAPK,PARP1,PDGFRB,PGK1,PTEN,RARA,RELA,RHOA,SP1,STAT1,STAT3,TFEB",3,Activated,2.44,2.75e-15,0.0176,"AHNAK,ALCAM,ANO10,APOBEC3G,ARF4,ARHGDIB,ARPC5L,ASS1,ATP2A2,ATP6AP2,AURKA,BABAM2,BAG1,BAG3,BAX,BCAS3,BCOR,BZW2,C4A/C4B,CBS/CBSL,CBX3,CCL4,CD14,CD44,CD55,CDKN2C,CEBPB,COL1A2,COX5A,CP,CTBP2,DDX58,DDX60,DNAJC21,DNMT1,DOCK8,EHD1,EIF2AK2,EIF4E,ENY2,ERP29,F10,FBLN1,FN1,FOSL1,GBP1,GBP2,GBP4,GDF15,GLA,GMFG,GNS,GOLGA2,GOT1,GTF2B,HERC5,HINT1,HLA-B,HLA-C,HLA-E,HNRNPD,HSPB1,HSPE1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,INIP,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KAT2B,LAMP1,LAP3,LUM,MBOAT7,MIF,MKI67,MMP2,MMP9,MRPL18,MVP,MX1,MX2,MYOF,NAMPT,NASP,NCF1,NCOA7,NCOR1,NDUFB8,NFATC2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD5,PEA15,PFDN1,PGLS,PHACTR2,PLAU,PLG,PLIN2,PML,POLDIP3,POLR2D,PREX1,PRRC2C,PSEN1,PSIP1,PSMD3,PSME2,PSME3,PTPN2,RAB5C,RANBP1,RCC1,RELA,RGS1,RHOC,RPL11,RUNX1,S100A6,SAMD9,SERPINE2,SERPINH1,SET,SFPQ,SMC1A,SPRY2,SSBP1,ST13,STAT1,STAT2,STAT6,STIP1,SUMO1,SUMO2,SUMO3,TACC1,TAP1,TARDBP,TGFB1,TGM2,THBS1,TKT,TMOD3,TMSB10/TMSB4X,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP,YWHAE,ZFP91",172 (40),37,24hr_PROT_causal_unique,True,True
61,CRHR1, ,G-protein coupled receptor,"CRHR1,DUSP1,EGFR,LIN28A,MAPK1,MAPK14,MAPK3,NFkB (complex),RARA",3,Inhibited,-3.148,2.87e-15,0.0009,"ABCB1,ANO10,ARPC5L,AURKA,BAX,C3,CCL4,CDK1,CEBPB,CHI3L1,CP,CTSS,DAB2,DDX58,DNAJC21,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,GBP1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,JUN,KYNU,LAP3,LGALS1,LUM,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PGLS,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RELA,RSAD2,SAMD9,SAR1A,SFPQ,SLC2A1,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAPBP,TARDBP,TDO2,TGM2,THBD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",97 (9),8,24hr_PROT_causal_unique,True,
62,CRHR2, ,G-protein coupled receptor,"CRHR2,DUSP1,EGFR,LIN28A,MAPK1,MAPK14,MAPK3,NFkB (complex),RARA",3,Inhibited,-3.3510000000000004,3.2200000000000003e-15,0.0009,"ABCB1,ANO10,ARPC5L,AURKA,BAX,C3,CCL4,CDK1,CEBPB,CHI3L1,CP,CTSS,DAB2,DDX58,DNAJC21,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,GBP1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,JUN,KYNU,LAP3,LGALS1,LUM,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PGLS,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RELA,RSAD2,SAMD9,SAR1A,SFPQ,SLC2A1,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAPBP,TARDBP,TDO2,TGM2,THBD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",97 (9),8,24hr_PROT_causal_unique,True,
65,MGAT5, ,enzyme,"DUSP1,EPHA2,ERK,Focal adhesion kinase,IGF1R,IRF1,LIN28A,Mapk,MAPK1,MAPK14,MAPK3,MGAT5,NANOG,NFkB (complex),P38 MAPK,PTPN11,PXN,RAC1,RARA,SRC,STAT1,STAT3",3,Inhibited,-3.866,3.87e-15,0.0017,"ANO10,APOC3,ARPC5L,ATP6AP2,AURKA,BAX,C4A/C4B,CASP1,CD14,CD36,CD55,CD82,CDK1,CDK6,CMPK2,COL1A1,CP,CTSD,CTSS,DAB2,DDX58,DDX60,DNAJC21,DNMT1,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,FOSL1,GBP1,GBP2,GBP4,GMFG,GOLGA2,GRN,HELZ2,HERC5,HLA-B,HLA-C,HLA-E,HLA-F,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,INIP,ISG15,KAT2B,KYNU,LAP3,LGALS1,LUM,MAP4K4,MIF,MKI67,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PGLS,PHACTR2,PML,PRRC2C,PSIP1,PSME2,PTPN2,PXN,RSAD2,S100A6,SAMD9,SAR1A,SET,SFPQ,SLC2A1,SOD1,SPRY2,SRC,STAT1,STAT2,TAP1,TARDBP,TDO2,TGFB1,THBD,THBS1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,YWHAE",118 (22),18,24hr_PROT_causal_unique,True,
66,BCAR3, ,other,"Akt,Ap1,BCAR3,CDH1,CEBPA,CHEK1,CHUK,CTNNB1,EGFR,EIF2A,ELK1,ERK,ERK1/2,FOS,FOSL1,KIT,Mapk,MAPK1,MAPK9,MED1,MMP2,MTOR,NFkB (complex),P38 MAPK,PRKAA,RAPGEF1,RB1,RELA,RHOA,RHOC,RPS6KB1,RUNX3,SP1,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1",3,Inhibited,-2.372,3.9299999999999996e-15,0.0269,"A2M,ABCB1,ACSL1,ACTB,ALB,APOA4,APOBEC3G,APOC3,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,C3,CASP1,CBS/CBSL,CCL4,CD36,CD44,CD47,CD55,CD82,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,DDX58,DHCR24,DNMT1,DOCK8,EDF1,EIF2AK2,EIF4E,ERMP1,ERP29,EZR,FABP5,FN1,GBP1,GLUL,GOLGA2,GOT1,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF8,ISG15,ITGB5,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,LTF,MAD1L1,MAP4K4,METAP2,MIF,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PPP3CA,PPP3CB,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RFTN1,RGS1,RHOC,RUNX1,S100A4,S100A9,SAR1A,SCPEP1,SERPINF1,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRSF1,SRSF2,STAT2,STIP1,TANK,TAP1,TAP2,TAPBP,TDO2,TGM2,THBD,TK1,TMSB10/TMSB4X,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP,ZFP91",160 (38),37,24hr_PROT_causal_unique,True,
67,AFDN, ,other,"AFDN,Akt,Ap1,CDH1,CEBPA,CHEK1,CHUK,CTNNB1,EGFR,EIF2A,ELK1,ERK,ERK1/2,FOS,FOSL1,KIT,Mapk,MAPK1,MAPK9,MED1,MMP2,MTOR,NFkB (complex),P38 MAPK,PRKAA,RAPGEF1,RB1,RELA,RHOA,RHOC,RPS6KB1,RUNX3,SP1,SRC,STAT3,STAT5a/b,YAP/TAZ,YAP1",3,Activated,2.372,4.23e-15,0.0274,"A2M,ABCB1,ACSL1,ACTB,ALB,APOA4,APOBEC3G,APOC3,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,C3,CASP1,CBS/CBSL,CCL4,CD36,CD44,CD47,CD55,CD82,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,DDX58,DHCR24,DNMT1,DOCK8,EDF1,EIF2AK2,EIF4E,ERMP1,ERP29,EZR,FABP5,FN1,GBP1,GLUL,GOLGA2,GOT1,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF8,ISG15,ITGB5,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,LTF,MAD1L1,MAP4K4,METAP2,MIF,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PLAU,PLIN2,PML,POSTN,PPIA,PPP3CA,PPP3CB,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RFTN1,RGS1,RHOC,RUNX1,S100A4,S100A9,SAR1A,SCPEP1,SERPINF1,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRSF1,SRSF2,STAT2,STIP1,TANK,TAP1,TAP2,TAPBP,TDO2,TGM2,THBD,TK1,TMSB10/TMSB4X,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP,ZFP91",160 (38),37,24hr_PROT_causal_unique,True,
68,SNX27,0.030,other,"EIF4E,EIF4EBP1,ERK1/2,ESR1,FOXO3,HSF1,MTOR,MYC,NFkB (complex),RHOA,RPS6KB1,SIRT1,SNX27,TFEB,TP53",3,Inhibited,-2.008,4.6e-15,0.0133,"ACTB,AHNAK,AK1,ALCAM,ANO10,ARPC5L,ARRB1,ASS1,AURKA,B2M,BAG1,BAG3,BAX,BCAS3,BCOR,BID,BUB1B,BZW2,CASP1,CBX3,CD36,CEBPA,CEBPB,CES2,CLEC11A,COL1A1,COX5A,CP,CTSS,DHCR24,DNAJC21,DR1,DUT,ECM1,EFEMP1,EIF4E,ENG,ENY2,ERAP1,EZR,FABP5,FAM3C,FBLN1,FKBP3,FOSL1,FUBP1,GBP1,GLA,GLB1,GNS,GTF2B,HERC5,HLA-A,HLA-B,HLA-C,HLA-F,HMGB1,HMGN2,HNRNPD,HSPB1,HSPE1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,INIP,ISCU,ISG15,ITGB5,JUN,KYNU,LAMP1,LGALS1,LGALS3,MAD1L1,MBOAT7,MGST2,MRPL18,MX1,MX2,NAMPT,NASP,NCOR1,NDRG1,NFKB1,NFKB2,NPM1,NT5E,OAS1,OASL,PFKP,PGLS,PHGDH,POLDIP3,POLR2D,PPM1A,PPP3CA,PPP4R2,PRAG1,PTPN6,PXN,RAB4B,RAB5C,RAD23A,RALY,RANBP1,RCC1,RELA,RHOC,RPL11,RPS27L,RSAD2,S100A4,SAMD9,SAR1A,SERPINE2,SERPINH1,SFPQ,SLC1A5,SLC7A11,SMC1A,SOD1,SRC,SRSF1,SSBP1,ST13,ST14,STAT1,STAT6,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TACC1,TAGLN2,TANK,TAP1,TDO2,TFRC,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,UBE2I,VIM,YWHAH",155 (15),14,24hr_PROT_causal_unique,True,
70,CD81,0.352,other,"Akt,Ap1,ATF2,CCND1,CD81,CEBPB,DUSP1,DYRK1B,ELK1,ERK,GSK3B,MMP2,MYC,NFAT5,NFkB (complex),NOS2,Notch,PPARG,PXN,Rac,RAC1,RELA,ROCK,RUNX2,RXRA,STAT1,STAT3",3,Activated,2.437,5.92e-15,0.0082,"ABCB1,ABCC1,AHNAK,ALB,ALCAM,APOB,APOBEC3G,ARHGDIB,ASNS,ATP2A2,ATP6AP2,BAG1,BCLAF1,BCOR,BZW2,C11orf58,C4A/C4B,CCL4,CD14,CD82,CDK6,CHI3L1,COL1A1,COL1A2,COX4I1,COX5A,CP,CTSL,CTSS,DDX60,DNMT1,DOCK8,DR1,EEF1B2,EIF2AK2,EIF4E,ERAP1,FABP5,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,GTF2B,HERC5,HLA-E,HLA-F,HSPB1,IFI16,IFI44L,IGFBP3,IL1RN,IPO7,IRF2BP2,ISG15,ITIH2,JUN,KAT2B,KRT10,KYNU,LASP1,LUM,MAP4K4,MARCKS,MMP2,MMP9,MTA1,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NOP16,NRP1,NUDT1,OASL,PDCD4,PEA15,PFKP,PLAU,PLIN2,POLDIP3,POLR2D,POSTN,PRMT1,PSIP1,PTPN2,PXN,RCC1,RELA,RGS1,RMDN3,RPL11,RPL13,RPL27A,RPS7,RSAD2,RUNX1,S100A11,S100A4,S100A8,SAR1A,SEC61B,SERPINE2,SHBG,SLC7A11,SRC,SRFBP1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TALDO1,TDO2,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPI1,TPM1,TRAF1,TRIM21,UBE2I,VIM,WTAP,ZFP91",132 (27),26,24hr_PROT_causal_unique,True,
71,DNMT1,-0.626,enzyme,"ATM,CHEK1,CREB1,DNMT1,E2F3,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,ING1,LAMTOR5,MAPK1,MAPK12,MDM4,NFkB (complex),PLK1,RB1,RELA,SMC3,SRC,TP53,VCP,ZEB1",3,Activated,2.8480000000000003,6.0799999999999994e-15,0.0135,"ABCC1,AK1,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DOCK8,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,EPS15,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,LPL,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NDRG1,NDUFS8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PIN1,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RGS1,RPS27L,RRAD,S100A4,S100A8,SAR1A,SERPINH1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,XPO4,YWHAH,ZFP91",151 (24),24,24hr_PROT_causal_unique,True,
73,MAPK1,-0.504,kinase,"DUSP1,EGFR,LIN28A,MAPK1,MAPK14,NFkB (complex),RARA",2,Inhibited,-3.266,6.2700000000000005e-15,0.0014,"ABCB1,ANO10,ARPC5L,AURKA,BAX,C3,CCL4,CDK1,CEBPB,CHI3L1,CP,CTSS,DAB2,DDX58,DNAJC21,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,GBP1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,JUN,KYNU,LAP3,LGALS1,LUM,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PGLS,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RELA,RSAD2,SAMD9,SAR1A,SFPQ,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAPBP,TARDBP,TDO2,TGM2,THBD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",96 (7),7,24hr_PROT_causal_unique,True,True
79,RPTOR,0.215,other,"Akt,ATF2,CEBPA,CHEK2,EIF4E,ERK1/2,ESR1,EZH2,FOSL1,FOXO1,FOXO3,H2AX,HSF1,IRF3,MDM4,MED1,MMP12,MTOR,MYC,NFAT5,NR4A1,NRF1,PDGFRA,PHB2,RAC1,RB1,RHOA,RHOC,ROCK,RPS6KB1,RPTOR,SIAH2,SIRT1,SREBF1,SREBF2,STAT1,TFEB,YBX1",3,Inhibited,-4.096,8.409999999999999e-15,0.0135,"A2M,ACSL1,AHNAK,ALB,ALCAM,ANO10,APOBEC3F,APOBEC3G,ARF4,ARPC5L,ARRB1,ASNS,ASS1,ATP2A2,B2M,BABAM2,BAG1,BAG3,BCAS3,BCOR,BZW2,C3,C4A/C4B,CAP2,CASP1,CBX3,CCL4,CD14,CDK6,CEBPA,CEBPB,CLEC11A,CLTC,COX4I1,COX5A,CTSD,CTSS,CYCS,CYP51A1,DAB2,DDX58,DDX60,DHCR24,DNAJC21,DR1,EDF1,EFEMP1,EHD1,EIF4E,ENY2,ERMP1,EZR,FBLN1,FDPS,FN1,GBP2,GBP4,GDF15,GLA,GLB1,GLUL,GNS,GPNMB,GTF2B,H1-10,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HNRNPD,HSPB1,HSPE1,HYOU1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,INIP,IRF5,IRF8,ITGB5,JUN,JUND,KRT10,LAMP1,LGALS1,LTF,MBOAT7,MMP9,MRPL18,MX1,MX2,NASP,NCOA7,NCOR1,NDUFB8,NOP16,NRP1,NT5E,NUDT1,OAS1,OAS2,OASL,P4HB,PEA15,PGLS,PLG,POLDIP3,POLR2D,PPP3CB,PSMB7,PSMD3,PSME3,RAB4B,RAB5C,RABGAP1L,RANBP1,RBL2,RCC1,RHOC,RNASET2,RPL11,RPS7,RSAD2,RUNX1,S100A9,SAMD9,SCPEP1,SERPINE2,SERPINF1,SERPINH1,SFPQ,SLC2A1,SMC1A,SOD1,SPRY2,SRC,ST13,STAT6,STIP1,SUMO1,SUMO2,SUMO3,TACC1,TAP1,TAP2,TAPBP,TGFB1,TRIM21,TXN,UBE2I,WTAP",155 (38),36,24hr_PROT_causal_unique,True,
