,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Notes,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
39,TLR10, ,transmembrane receptor,"AR,ATF6,CCND1,CCNE1,CDK2,CEBPB,Creb,EGFR,ERK,ERK1/2,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,RUNX2,RXRA,SHC1,SP1,STAT3,TLR10,TP53,TP63",3,Activated,biased,3.9730000000000003,8.380000000000001e-08,0.0224,"ACO1,AK1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,ENO1,ERBIN,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,MARCKS,NAMPT,NFKB1,NIBAN2,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",69 (32),31,1hr_PROT_causal,True,
40,HCG11, ,other,"AR,ATF6,CCND1,CCNE1,CDK2,CEBPB,Creb,EGFR,ERK,ERK1/2,FOXO1,HCG11,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,RUNX2,RXRA,SHC1,SP1,STAT3,TP53,TP63",3,Inhibited,biased,-3.9730000000000003,8.58e-08,0.0224,"ACO1,AK1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,ENO1,ERBIN,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,MARCKS,NAMPT,NFKB1,NIBAN2,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",69 (32),31,1hr_PROT_causal,True,
41,LBP, ,transporter,"AR,ATF6,CEBPB,Creb,EGFR,ELK1,FOXO1,Hsp27,IRF3,Jnk,JUN,LBP,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PI3K (complex),PPARGC1A,RPS6KB1,SHC1,SP1,STAT1,STAT3,TP53,TP63,TYK2",3,Inhibited,biased,-3.693,8.72e-08,0.0139,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,VIM,XPO1",66 (29),27,1hr_PROT_causal,True,
42,WNT4, ,cytokine,"AR,ATF6,CEBPB,Creb,EGFR,ELK1,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TP53,TP63,WNT4",3,Inhibited,biased,-4.0,8.820000000000001e-08,0.0126,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",64 (24),23,1hr_PROT_causal,True,
43,Sod, ,group,"AR,ATF6,CEBPB,Creb,EGFR,ELK1,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,Sod,SP1,TP53,TP63",3,Activated,biased,4.0,9.039999999999999e-08,0.0126,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",64 (24),24,1hr_PROT_causal,True,
44,TSC22D3, ,transcription regulator,"AR,ATF6,CEBPA,CEBPB,Creb,EGFR,ERK1/2,estrogen receptor,FOXO1,HIF1A,Hsp27,IKBKB,Jnk,LIN28A,MAP2K1/2,MAPK1,MAPK14,MED1,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,RAF1,RARA,RELA,RPS6KA3,RPS6KB1,SHC1,SP1,STAT3,TP53,TP63,TSC22D3",3,Activated,biased,3.534,9.359999999999999e-08,0.0495,"ACO1,AK1,AKR1B1,AKT1,AKT2,ANO10,ARPC5L,ATG9A,BID,CBR1,CLGN,CP,CSTA,DAB2,DHCR7,DR1,EHD1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,IL1B,IREB2,IRF8,JAK1,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAMD9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TXN,UBE2L6,VIM,XPO1",82 (36),35,1hr_PROT_causal,True,
45,MAP3K10, ,kinase,"AR,ATF6,CEBPB,Creb,EGFR,ELK1,FOXO1,HIF1A,Hsp27,Jnk,JUN,MAP3K10,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TP53,TP63",3,Inhibited,biased,-4.276,9.720000000000001e-08,0.0184,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",67 (25),24,1hr_PROT_causal,True,
47,KNG1, ,other,"Akt,AKT1,CTNNB1,EGFR,ERBB3,HDAC6,HIF1A,ITGB4,JUN,KNG1,LIN28A,MAP2K1/2,Mapk,MAPK1,MAPK14,MAPK3,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,RARA,SHC1,SP1,STAT3",3,Inhibited,biased,-3.0460000000000003,9.85e-08,0.0088,"ACO1,AKT1,ANO10,ARPC5L,CDKN2C,CP,DAB2,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A8,SAMD9,SAR1A,SERPINB8,SERPINE2,SOD1,TGM2,TNFAIP3,TRADD,TRAF1,TXN,UBE2L6,VIM",57 (25),23,1hr_PROT_causal,True,
49,TMED10,-0.052,transporter,"Akt,Ap1,AR,Creb,ERK1/2,FOXO1,Jnk,JUN,MYC,NFkB (complex),ROCK,RPS6KB1,SHC1,SMAD2,SP1,STAT6,TMED10,TP53,YAP1",3,Activated,biased,5.078,1.04e-07,0.0051,"ACO1,AK1,AKT1,BAG1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,EIF4E,FABP4,FABP5,FBXO22,FKBP4,FLI1,FSCN1,GDI1,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IQGAP2,IREB2,JUN,KYNU,MYD88,NAMPT,NFKB1,NME1,PEA15,PPP4C,PREP,PTPN11,PTPN6,PTPRE,PYCARD,RSAD2,S100A4,SAE1,SAR1A,SERPINE2,SPC25,SREBF2,SUMO2,SUMO3,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,VIM",56 (19),17,1hr_PROT_causal,True,
50,ACKR3, ,G-protein coupled receptor,"ACKR3,AKT1,Ap1,CCND1,CCNE1,CDK2,CEBPA,CEBPB,Creb,EGFR,ERBB3,ERK,ERK1/2,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RELA,RPS6KB1,RUNX2,RXRA,SHC1,SP1,STAT3",3,Inhibited,biased,-3.75,1.0699999999999999e-07,0.0212,"ACO1,AKR1B1,AKT1,AKT2,CDK6,CDKN2C,DR1,EIF4E,ENO1,ERBIN,FABP5,FHL1,FLI1,FN1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IRF8,JAK1,JUN,KYNU,MARCKS,MYD88,NAMPT,NAT1,NFKB1,NIBAN2,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINE2,SOD1,SREBF2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TXN,UBE2L6,VIM",64 (34),33,1hr_PROT_causal,True,
51,IKBKE, ,kinase,"Akt,ATF6,CEBPA,CEBPB,Creb,EGFR,ERK1/2,estrogen receptor,FOXO1,GSK3B,HIF1A,Hsp27,IKBKB,IKBKE,IRF3,MAP2K1/2,MAPK1,MED1,MET,MMP9,MYC,NFkB (complex),NR3C1,P38 MAPK,PDGFRA,PGR,PHB2,RARA,RELA,RPS6KA3,SP1,STAT3,TP63",3,Inhibited,biased,-3.4410000000000003,1.13e-07,0.0318,"ACO1,AKR1B1,AKT1,AKT2,ANO10,ARPC5L,ATG9A,BAG1,CAST,CBR1,CP,CSTA,DAB2,EIF4E,FABP4,FABP5,FHL1,FSCN1,GBA,GPNMB,GSTM3,HINT1,ICAM1,IFIT2,IL1B,IQGAP2,IRF8,JAK1,JUN,KYNU,MAPK7,MYD88,NAMPT,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PGM1,PGM2,PLAU,PPIA,PPP3CB,PREP,PRKAR1A,PRMT1,PSAT1,PSMB3,PTPN2,PTPRE,PYGL,RAN,RPE,RSAD2,S100A9,SAE1,SAMD9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SPC25,SUMO2,SUMO3,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,UBE2L6,XPO1",76 (33),32,1hr_PROT_causal,True,True
53,SNX1,-0.532,transporter,"Akt,AKT1,Ap1,CEBPA,Creb,EGFR,ERBB3,ERK1/2,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RELA,RPS6KB1,SHC1,SNX1,SP1,STAT3",3,Activated,biased,4.0360000000000005,1.26e-07,0.0107,"ACO1,AKR1B1,AKT1,CDKN2C,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IRF8,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINE2,SOD1,SREBF2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM",59 (28),27,1hr_PROT_causal,True,
54,GRP, ,growth factor,"Akt,AKT1,Ap1,CEBPA,Creb,EGFR,ERBB3,ERK1/2,GRP,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RELA,RPS6KB1,SHC1,SP1,STAT3",3,Inhibited,biased,-4.0360000000000005,1.26e-07,0.0107,"ACO1,AKR1B1,AKT1,CDKN2C,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IRF8,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINE2,SOD1,SREBF2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM",59 (28),27,1hr_PROT_causal,True,
55,HTATIP2,-0.347,transcription regulator,"Akt,AKT1,Ap1,CEBPA,Creb,EGFR,ERBB3,ERK1/2,HDAC6,HIF1A,HTATIP2,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RELA,RPS6KB1,SHC1,SP1,STAT3",3,Activated,biased,4.0360000000000005,1.26e-07,0.0107,"ACO1,AKR1B1,AKT1,CDKN2C,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IRF8,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINE2,SOD1,SREBF2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM",59 (28),27,1hr_PROT_causal,True,
56,AGK,0.016,kinase,"AGK,Akt,AKT1,Ap1,CEBPA,Creb,EGFR,ERBB3,ERK1/2,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RELA,RPS6KB1,SHC1,SP1,STAT3",3,Inhibited,biased,-4.0360000000000005,1.26e-07,0.0107,"ACO1,AKR1B1,AKT1,CDKN2C,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IRF8,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINE2,SOD1,SREBF2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM",59 (28),27,1hr_PROT_causal,True,
57,Mmp, ,group,"AKT1,ATM,CCND1,CCNE1,CEBPA,CEBPB,EGFR,ERBB3,ERK,ERK1/2,HDAC6,HIF1A,Hsp27,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MAPK14,MED1,Mek,Mmp,MMP1,NFkB (complex),P38 MAPK,PARP1,PGR,PRKCA,RELA,RXRA,SHC1,SP1,STAT3,TGFB1,TP53",3,Inhibited,biased,-4.444,1.26e-07,0.0481,"ACO1,ADH5,AK1,AKR1B1,AKT1,AKT2,BID,CDK6,CDKN2C,COL6A3,DAB2,DR1,EIF4E,ENO1,ERBIN,FABP5,FBXO22,FHL1,FLI1,FSCN1,GBA,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,IRF8,JAK1,JUN,KYNU,MAP2K1,MARCKS,MYD88,NAMPT,NAT1,NFKB1,NIBAN2,NME1,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RSAD2,S100A4,S100A9,SAR1A,SCD,SERPINB1,SERPINB8,SOD1,TAGLN2,TGM2,TMSB10/TMSB4X,TPM1,TRADD,TREM2,TXN,UBE2L6,VIM,XPO1",77 (35),34,1hr_PROT_causal,True,
58,BMP7, ,growth factor,"Ap1,AR,ATF6,BMP7,CEBPB,Creb,EGFR,ELK1,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TP53,TP63",3,Activated,biased,4.0,1.2699999999999999e-07,0.0146,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A4,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",64 (25),25,1hr_PROT_causal,True,
59,ADAM9,-0.009,peptidase,"ADAM9,Akt,AKT1,Ap1,CEBPA,Creb,EGFR,ERBB3,ERK1/2,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RELA,RPS6KB1,SHC1,SP1,STAT3",3,Inhibited,biased,-4.0360000000000005,1.29e-07,0.0109,"ACO1,AKR1B1,AKT1,CDKN2C,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IRF8,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINE2,SOD1,SREBF2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM",59 (28),27,1hr_PROT_causal,True,
61,TGFB2, ,growth factor,"Akt,ATF6,CEBPB,Creb,EGFR,ELK1,HIF1A,Hsp27,MMP2,MMP9,MTOR,NFkB (complex),NFKB1,NR3C1,P38 MAPK,PDGFRA,PGR,PI3K (family),PPARGC1A,RELA,SMAD2,SP1,STAT3,TGFB2,TGM2,TP53,TP63",3,Inhibited,biased,-2.255,1.45e-07,0.0274,"ACO1,AK1,ATG9A,BID,CAST,CBR1,CDK6,CFP,CSTA,DAB2,EHD1,EIF4E,FABP4,FABP5,FBXO22,FCER1G,FHL1,FN1,FSCN1,GBA,GCLM,GPNMB,GSTM3,HINT1,ICAM1,IFIT2,IL1B,IREB2,JUN,KYNU,LSP1,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PAK1,PDLIM1,PEA15,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A8,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SOD1,SREBF2,TAGLN2,TANK,TGM2,TNFAIP3,TPM1,TRADD,TTC27,VIM,XPO1",71 (27),26,1hr_PROT_causal,True,
62,ICOSLG/LOC102723996, ,other,"AR,ATF6,CCND1,CEBPA,CEBPB,Creb,EGFR,ERK,ERK1/2,FOXO1,HIF1A,Hsp27,ICOSLG/LOC102723996,IKBKB,Jnk,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,RUNX2,RXRA,SHC1,SP1,STAT3,TP53,TP63",3,Inhibited,biased,-3.952,1.47e-07,0.0398,"ACO1,AK1,AKR1B1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,ENO1,ERBIN,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,MARCKS,NAMPT,NFKB1,NIBAN2,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",74 (32),31,1hr_PROT_causal,True,
63,TRAF7, ,enzyme,"ATF6,CD247,CEBPB,CHUK,EGFR,ERK1/2,estrogen receptor,FOXO1,FOXO3,GLI1,HIF1A,Hsp27,IKBKB,IKBKG,Jnk,MAP2K1/2,MAPK1,MED1,MMP9,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RARA,SHC1,TP53,TP63,TP73,TRAF7",3,Inhibited, ,-3.305,1.49e-07,0.0248,"ADK,AK1,AKT2,ANO10,ARPC5L,ATAD2,ATG9A,BID,CBR1,CNTRL,CP,CSTA,EFHD2,EIF4E,ELOB,FABP4,FABP5,FBXO22,FCER1G,FHL1,FLI1,FN1,FSCN1,GBA,GPNMB,GSTM3,GSTP1,IQGAP2,IREB2,IRF8,JAK1,JUN,KYNU,MAPK7,MSI2,NAMPT,NFKB1,NME1,NMI,NPEPL1,NRGN,NUDCD2,OGFRL1,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RBM8A,SAMD9,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,TAGLN2,TGM2,TNFAIP3,TPM1,TRADD,TXN,UBE2L6,VIM,XPO1",77 (30),29,1hr_PROT_causal,True,
64,LGALS3,-0.465,other,"ABL1,Akt,AKT1,CAV1,CBL,CD247,CEBPA,CEBPB,EGFR,ERBB3,ERK1/2,EZH2,FOXO1,HDAC6,HIF1A,ITGB4,LGALS3,LIN28A,MAP2K1/2,MAPK1,MED1,Mek,MMP1,MUC1,P38 MAPK,PARP1,PGR,PHB2,POU5F1,PPARG,PRKCD,PTPRC,RARA,RB1,SHC1,TP53",3,Activated, ,2.0469999999999997,1.59e-07,0.0195,"ACO1,AK1,AKR1B1,AKT1,ANO10,ARPC5L,BAG1,BID,BIRC6,CDK6,CDKN2C,CP,EHD1,EIF4E,FABP4,FBXO22,FCER1G,FHL1,FLI1,FN1,GBA,GCLM,GPX4,GSTM3,GSTP1,HNRNPF,ICAM1,IFIT2,IREB2,IRF8,JAK1,MAP2K1,MYD88,NAT1,NFKB1,NME1,NMI,NUDCD2,PARP12,PDLIM1,PDLIM7,PEA15,PPIA,PPP3CB,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PYCARD,RIPK2,S100A4,S100A8,S100A9,SAMD9,SERPINB1,SERPINB8,SPC25,TAGLN2,TANK,TGM2,TRADD,TREM2,TXN,UBE2L6,XPO1",69 (36),33,1hr_PROT_causal,True,
65,TMSB4, ,group,"AR,ATF6,CCND1,CCNE1,CDK2,CEBPB,Creb,EGFR,ERK,ERK1/2,FOXO1,Hsp27,Jnk,JUN,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,PTEN,PTK2,PXN,RELA,RPS6KB1,RUNX2,RXRA,SHC1,Smad2/3,SP1,STAT3,TMSB4,TP53,TP63",3,Inhibited,biased,-3.7319999999999998,1.74e-07,0.0391,"ACO1,AK1,AKT2,ARF4,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,ENO1,ERBIN,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,MARCKS,NAMPT,NFKB1,NIBAN2,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",69 (35),32,1hr_PROT_causal,True,
