© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Expr Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
CPNE3	0.738	kinase	Akt,ATF2,CDH1,CHUK,CPNE3,DYRK1B,EGFR,EIF2A,ERK,ERK1/2,FOS,IKBKB,Jnk,KIT,Mapk,MAPK1,MAPK9,NFAT5,NFkB (complex),P38 MAPK,PRKAA,RAC1,RAPGEF1,RB1,RELA,RHOA,RHOC,ROCK,RUNX3,SRC,SRC (family),STAT3,STAT5a/b,YAP/TAZ,YAP1	3	 	-1.612	3.54E-16	4.60E-03	ABCB1,ACTB,APOA4,APOBEC3G,APOC3,ARHGDIB,ARRB1,ASNS,ATP2A2,ATP6AP2,AURKA,B2M,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CDKN2C,CHI3L1,CLEC11A,COL1A1,CP,DDX58,DNMT1,DOCK8,EIF2AK2,EIF4E,ERP29,EZR,FABP5,FOSL1,GBP1,GDF15,GLUL,GOLGA2,GOT1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IRF2BP2,ISG15,JUN,KAT2B,KRT10,KYNU,LAP3,LMNA,LPL,LSM3,MAP4K4,METAP2,MIF,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NOP16,NPM1,NT5E,NUDT1,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PFKP,PLAU,PLIN2,PML,POSTN,PPIA,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RBL2,RELA,RFTN1,RGS1,RHOC,RPS7,RUNX1,SAR1A,SLC2A1,SLC7A11,SOD1,SPRY2,SRSF1,SRSF2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBS1,TK1,TMSB10/TMSB4X,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP,ZFP91	139 (35)	34
PTPRZ1	 	phosphatase	Ap1,AR,CDH1,CEBPA,CREB1,CTNNB1,DUSP1,EIF2A,ERBB3,ERK,ERK1/2,estrogen receptor,LIN28A,MAP2K1/2,Mapk,MAPK1,MAPK14,MAPK3,MAPK9,MED1,MET,MMP2,MTOR,NCOA3,NFkB (complex),Notch,PARP1,PGK1,PRKAA,PTEN,PTK2,PTPRZ1,RAPGEF1,RARA,RB1,RELA,RHOC,RUNX3,SP1,SRC,STAT5a/b,YAP/TAZ,YAP1	3	Activated	3.448	4.80E-16	1.29E-02	A2M,ABCB1,ACSL1,ACTB,ALB,ANO10,APOA4,APOBEC3G,APOC3,ARF4,ARHGDIB,ARPC5L,ARRB1,AURKA,B2M,BAX,BUB1B,C3,CAPG,CASP1,CAST,CBS/CBSL,CCL4,CD44,CD47,CDK1,CDK6,CEBPA,CEBPB,CHI3L1,CLEC11A,CLGN,CLTC,COL6A1,COL9A2,CP,CTSS,DAB2,DDX58,DEGS1,DHCR7,DNAJC21,DOCK8,DR1,EDF1,EFEMP1,EHD1,EIF2AK2,EIF4E,ENY2,ERAP1,ERMP1,ERP29,EZR,FABP5,FOSL1,GLUL,GOT1,H1-10,H2AX,HERC5,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HMOX1,HNRNPD,HSPB1,HYOU1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,IL1RN,INIP,IRF2BP2,IRF8,ISG15,ITGB5,JUN,JUND,KRT10,KYNU,LAP3,LGALS1,LMAN1,LMNA,LPL,LSM3,LTF,LUM,MAD1L1,MAP4K4,METAP2,MKI67,MMP2,MMP9,MSMO1,MTA1,MVP,MX2,MYOF,NAP1L1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PFDN1,PGLS,PHGDH,PLAU,PML,PPP3CA,PPP3CB,PREX1,PSAT1,PSEN1,PSME2,PTPN1,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RFTN1,RGS1,RSAD2,RUNX1,S100A11,S100A4,S100A9,SAMD9,SAR1A,SCPEP1,SEC61B,SERPINF1,SFPQ,SLC2A1,SLC9A3R1,SPRY2,SRC,SRFBP1,SRSF2,STAT1,STAT2,STIP1,TANK,TAP1,TAP2,TAPBP,TARDBP,TDO2,TKT,TMOD3,TMSB10/TMSB4X,TPX2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,ZFP91	178 (43)	40
S1PR1	 	G-protein coupled receptor	Akt,AKT1,ATF2,CEBPA,CHEK1,CTNNB1,DYRK1B,ELK1,ERK1/2,FOSL1,JAK1,Jnk,Mapk,MAPK1,MED1,MMP2,MTOR,NFAT5,NFkB (complex),RAC1,RELA,RHOA,ROCK,RPS6KB1,S1PR1,SP1,SRC (family),STAT1,STAT3,STAT5a/b,TP63	3	Activated	2.828	6.17E-16	1.79E-02	A2M,ABCB1,ACSL1,ALB,APOBEC3G,APOC3,ARHGDIB,ARRB1,ASNS,ATG9A,ATP2A2,ATP6AP2,B2M,C3,C4A/C4B,CASP1,CAST,CBS/CBSL,CCL4,CD14,CD36,CD44,CD47,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A1,CP,CPT2,CSTA,CTSS,DDX58,DDX60,DHCR24,DNMT1,DOCK8,EDF1,EHD1,EIF2AK2,ENG,ERAP1,ERMP1,ERP29,EZR,FABP5,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GPNMB,H1-10,H2AX,HERC5,HINT1,HK2,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF8,ITGB5,JUN,JUND,KAT2B,KHSRP,KRT10,KYNU,LAP3,LTF,MAD1L1,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NOP16,NPM1,NRP1,NT5E,NUDT1,NUP188,OAS3,OASL,PARP12,PEA15,PFKP,PLAU,PLG,PML,PNPT1,POSTN,PPP3CA,PPP3CB,PRPF4,PSIP1,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RCC1,RFTN1,RGS1,RHOC,RPS7,S100A8,S100A9,SAR1A,SCPEP1,SERPINF1,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRSF1,STAT2,STIP1,TANK,TAP1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBD,TMSB10/TMSB4X,TPM1,TRIM21,TRIM25,UBE2L6,UTP18,VIM,WTAP,ZFP91	162 (31)	30
LGALS3	-0.588	other	Akt,EGFR,ERK1/2,LGALS3,MAPK1,MMP1,MMP2,MUC1,PPARG,RB1,RHOA	2	Inhibited	-3.040	6.88E-16	1.00E-04	ABCB1,ABCC1,ACTB,ARRB1,AURKA,B2M,BAX,C3,CCL4,CD36,CD44,CEBPA,CHI3L1,CLEC11A,COL1A1,COL1A2,CTSL,DDX58,DNMT1,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,GDF15,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IL1RN,ISG15,JUND,KRT10,LAMP1,LAP3,MGST1,MKI67,MMP2,MVP,MX2,NFATC2,NFKB1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLG,PLIN2,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RAB4B,RBL2,RELA,RHOC,S100A4,SHBG,SLC7A11,SPRY2,SRSF1,STAT2,TAP1,TAP2,TAPBP,TGM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP	91 (11)	11
LIFR	 	transmembrane receptor	Akt,AKT1,ERK1/2,JAK1,LIFR,Mapk,MAPK1,RHOA,STAT1,STAT3,STAT5a/b,TP63	3	Activated	4.383	8.33E-16	2.10E-03	APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,AURKA,B2M,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX58,DDX60,DNMT1,EHD1,EIF2AK2,ENG,ERAP1,ERP29,EZR,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,LAP3,MKI67,MMP2,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,PNPT1,POSTN,PRPF4,PSIP1,PSME2,PTPN2,RAB4B,RCC1,RFTN1,RHOC,S100A4,S100A8,SLC2A1,SOD1,SPRY2,STAT2,STIP1,TAP1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP	115 (12)	11
PTK2B	-0.218	kinase	Akt,ATF2,CDH1,CEBPA,CHEK1,CHUK,CTNNB1,DUSP1,EIF2A,EP300,ERK,ERK1/2,EZH2,FOSL1,FOXO1,IRF3,JUN,LIN28A,Mapk,MAPK1,MAPK14,MAPK9,MED1,MMP12,MMP2,MTOR,NFAT5,NR4A1,NRF1,P38 MAPK,PDGFRA,PHB2,PTK2B,RAC1,RAPGEF1,RARA,RB1,RHOA,RHOC,ROCK,RPS6KB1,SP1,SRC,SREBF2,STAT1,STAT3,STAT5a/b,TP63,YAP/TAZ,YAP1	3	Activated	3.014	8.44E-16	3.41E-02	A2M,ACSL1,ACTB,ALB,ANO10,APOA4,APOBEC3G,APOC3,ARPC5L,ARRB1,ASNS,ATG9A,ATP2A2,ATP6AP2,AURKA,B2M,BABAM2,C3,C4A/C4B,CASP1,CAST,CBS/CBSL,CCL4,CD14,CD36,CD44,CD47,CD55,CDK1,CDKN2C,CEBPA,CHI3L1,CLEC11A,CLTC,COL1A1,CPT2,CSTA,CTSS,DAB2,DDX58,DDX60,DHCR24,DNAJC21,DNMT1,EDF1,EHD1,EIF2AK2,EIF4E,ENG,ENY2,ERAP1,ERMP1,ERP29,EZR,FDPS,FUBP1,GBP1,GBP2,GBP4,GLUL,GOLGA2,GOT1,GPNMB,H1-10,H2AX,HERC5,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGN2,HMOX1,HNRNPD,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RN,INIP,IRF5,IRF8,ISG15,ITGB5,JUND,KAT2B,KHSRP,LAP3,LGALS1,LMNA,LPL,LSM3,LTF,LUM,MAD1L1,MAP4K4,METAP2,MIF,MKI67,MMP2,MMP9,MVP,MX2,NAMPT,NCOA7,NDRG1,NDUFB8,NFATC2,NFKB2,NOP16,NPM1,NRP1,NT5E,NUDT1,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PFKP,PGLS,PLAU,PLG,PLIN2,PML,PNPT1,PPP3CA,PPP3CB,PRPF4,PSAT1,PSIP1,PSMD3,PSME2,PSME3,PTPN2,RAB4B,RABGAP1L,RAD23A,RBL2,RCC1,RFTN1,RHOC,RPS7,RSAD2,S100A8,S100A9,SAMD9,SCPEP1,SERPINF1,SFPQ,SLC2A1,SLC9A3R1,SPRY2,SRSF2,STAT2,STIP1,TANK,TAP2,TAPBP,TARDBP,TGFB1,THBD,TK1,TPM1,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,WTAP	185 (50)	49
VIM	0.606	other	Ap1,ATF2,CCND1,CEBPB,CTNNB1,DUSP1,DYRK1B,EGFR,ELK1,ERK,ERK1/2,GSK3B,IGF1R,IRS2,ITGB1,Jnk,MAPK1,MET,NEDD9,NFAT5,NFkB (complex),NOS2,Notch,P38 MAPK,PI3K (family),PPARG,PTEN,PTK2,PXN,RAC1,RELA,RHOA,ROCK,RUNX2,RXRA,SHC1,SRC,STAT1,STAT3,VIM,YAP1	3	 	-1.197	8.89E-16	1.98E-02	ABCB1,ABCC1,AHNAK,ALB,APOB,APOBEC3G,ARF4,ARHGDIB,ARRB1,ASNS,ATP2A2,ATP6AP2,AURKA,B2M,BAX,BCLAF1,C11orf58,C3,C4A/C4B,CCL4,CD14,CD47,CD55,CDK6,CEBPA,CHI3L1,CLEC11A,COL1A2,COX4I1,CP,CTSD,CTSL,CTSS,DDX58,DDX60,DNMT1,DOCK8,DR1,EEF1B2,EIF2AK2,ERP29,EZR,FABP5,FDPS,FLI1,FOSL1,G3BP1,GBP2,GBP4,GDF15,GOLGA2,GSTP1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB2,HSPB1,IFI35,IFIH1,IFIT3,IGFBP2,IGFBP3,IRF2BP2,ITIH2,JUND,KAT2B,KRT10,KYNU,LAP3,LASP1,LUM,MAP4K4,MARCKS,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NOP16,NPM1,NRP1,NT5E,NUDT1,NUP188,OAS2,OAS3,OASL,PARP12,PFKP,PLAU,PML,POSTN,PPIA,PPP3CA,PRMT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,RAB4B,RAD23A,RGS1,RHOC,RMDN3,RPL13,RPL27A,RPS7,RUNX1,S100A11,S100A4,S100A8,SAR1A,SEC61B,SHBG,SLC2A1,SLC7A11,SLC9A3R1,SPRY2,SRC,SRFBP1,SRSF1,STAT1,STAT2,TALDO1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBD,THBS1,TK1,TMSB10/TMSB4X,TPI1,TPM1,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,ZFP91	157 (41)	40
CDKN1A	 	kinase	26s Proteasome,AR,ATF2,ATM,AURKB,caspase,CCNA2,CCND1,CDK1,CDK2,CDK4,CDKN1A,CDKN2A,CEBPA,CREB1,Cyclin E,EIF2AK2,ELF4,ERK1/2,estrogen receptor,EZH2,FOXM1,FOXO1,H2AX,HIF1A,HSF1,ING1,IRF3,Jnk,MAPK1,MAPK8,MAPK9,MDM4,MED1,MMP12,MYC,NFE2L2,NFkB (complex),NFKB1,P38 MAPK,PKM,PRKCD,RB1,RELA,ROCK,SHC1,SMAD3,SMARCA4,SMC3,SNAI1,SNAI2,STAT3,ZEB1	3	 	0.600	8.95E-16	4.04E-02	A2M,ABCB1,ABRACL,ACSL1,ACSL5,ACTB,AHNAK,ALB,ALCAM,APOBEC3G,APOC3,APOE,ARHGDIB,ARRB1,ASNS,ATG9A,ATP6AP2,B2M,BAG1,BAX,BCLAF1,BCOR,BSG,BZW2,C11orf58,C3,CAPG,CARS1,CAST,CBX1,CBX3,CD44,CD55,CD82,CDK1,CDK6,CDKN2C,CEBPA,CFP,CLDND1,CLEC11A,CLGN,CLTC,COL6A1,COL9A2,COX4I1,COX5A,CP,CPM,CTSA,DEGS1,DHCR7,DOCK8,DR1,EDF1,EEF1B2,EFEMP1,EIF2AK2,EIF4E,EPS15,ERMP1,ERP29,EZR,FABP5,FBLN1,FCGR2A,FH,FHL1,FLI1,FN1,G3BP1,GDF15,GGT1,GLB1,GMFG,GOLGA2,GOT1,GSTP1,GTF2B,H1-10,H2AX,HCLS1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB2,HMGN2,HSPB1,HSPE1,HYOU1,IFI16,IGLL1/IGLL5,IL1RN,INPP1,IRF2BP2,IRF8,ITIH2,KAT2B,KHSRP,KIF20A,KYNU,LAMP1,LAP3,LASP1,LMAN1,LMNA,LPL,LSM3,LTF,MAFF,MANF,MARCKS,MBD2,MBOAT7,METAP2,MMP9,MRPL18,MSMO1,MT1G,MTA1,MTRES1,MVP,MX1,MYO9B,NAP1L1,NASP,NCOA7,NCOR1,NDUFS8,NFATC2,NFKB2,NOP16,NUCKS1,NUDCD2,NUP188,OAS2,OAS3,P4HB,PARP12,PARP14,PARP9,PCK2,PDCD4,PDIA3,PDLIM7,PEBP1,PGD,PGLS,PHGDH,PLAU,PLG,PLIN2,PML,POLDIP3,POLR2D,PPP3CB,PRDX2,PSAT1,PSEN1,PSIP1,PSMA5,PSMB3,PSMD4,PSME2,PSME3,PTPN2,RAB4B,RAB5C,RABGAP1L,RANBP1,RBL2,RCC1,RGS1,RMDN3,ROCK1,RPE,RPL11,RPL13,RPL27A,RSAD2,RUNX1,S100A6,S100A9,SAR1A,SCPEP1,SEC61B,SERPINF1,SERPINH1,SLC2A1,SLC7A11,SMC1A,SOD1,SRSF2,ST13,STAT2,STAT6,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TAF7,TAP2,TAPBP,TDO2,TGFBI,TKT,TMSB10/TMSB4X,TPI1,TPM1,TRADD,TRAF1,TRIM21,TRIM25,TXN,UBE2L6,UTP18,VIM,ZFP91,ZYX	225 (53)	46
FLOT1	0.032	other	CDKN1A,CEBPA,CHEK1,CTNNB1,ELK1,ERK1/2,ESR1,FLOT1,FOSL1,FOXO3,GSK3B,HIF1A,Mapk,MED1,MMP2,MTOR,MYC,NFkB (complex),Rac,RELA,RHOA,RPS6KB1,SP1,STAT3,TP63	3	Inhibited	-2.524	1.03E-15	3.73E-02	A2M,ABCC1,ACSL1,AHNAK,ALB,ALCAM,ANO10,APOC3,APOE,ARHGDIB,ARPC5L,ARRB1,ASS1,ATG9A,ATP6AP2,B2M,BAG1,BCAS3,BCOR,BZW2,C3,CARS1,CASP1,CAST,CBS/CBSL,CCL4,CD36,CD44,CD47,CD82,CDK1,CDK6,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A1,COX5A,CP,CPT2,CSTA,CTSD,CTSS,DHCR24,DNAJC21,DNMT1,DOCK8,DR1,EDF1,EHD1,EIF4E,ENG,ENY2,ERAP1,ERMP1,EZR,FABP5,FHL1,FN1,FUBP1,GBP1,GLB1,GPNMB,GTF2B,H1-10,H2AX,HERC5,HINT1,HK2,HLA-A,HLA-C,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RN,INIP,IPO7,IRF2BP2,IRF5,IRF8,ISG15,ITGB5,JUN,JUND,KAT2B,KHSRP,KRT10,KYNU,LGALS1,LTF,MAD1L1,MBD2,MIF,MMP2,MMP9,MTA1,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NRP1,NUCKS1,NUDCD2,OAS1,OAS2,OASL,PGLS,PLAU,PNPT1,POLDIP3,POLR2D,POSTN,PPP3CA,PPP3CB,PRPF4,PSIP1,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RGS1,RHOC,RPL11,RSAD2,S100A8,S100A9,SAMD9,SAR1A,SCPEP1,SERPINE2,SERPINF1,SFPQ,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SRSF2,STAT1,STMN1,SUMO1,SUMO2,SUMO3,TACC1,TANK,TAP1,TAP2,TAPBP,TDO2,TFRC,TGM2,THBD,TMSB10/TMSB4X,TPM1,ZFP91	171 (25)	23
INTS3	-0.272	other	ATM,CHEK1,CHEK2,CREB1,E2f,E2F3,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,ING1,INTS3,LAMTOR5,MAPK1,MAPK12,MDM4,NBN,NFkB (complex),PLK1,RB1,RELA,SIAH2,SMC3,SRC,TP53,VCP,ZEB1	3	Activated	2.920	1.36E-15	8.30E-03	ABCC1,AK1,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DOCK8,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,EPS15,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,LPL,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PIN1,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RGS1,RPS27L,RRAD,S100A4,S100A8,SAR1A,SERPINH1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,XPO4,YWHAH,ZFP91	152 (28)	25
MMS22L	 	other	ATM,CHEK1,CHEK2,CREB1,E2f,E2F3,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,ING1,LAMTOR5,MAPK1,MAPK12,MDM4,MMS22L,NFkB (complex),PLK1,RB1,RELA,SIAH2,SMC3,SRC,TP53,VCP,ZEB1	3	Inhibited	-2.920	1.36E-15	8.30E-03	ABCC1,AK1,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DOCK8,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,EPS15,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,LPL,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PIN1,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RGS1,RPS27L,RRAD,S100A4,S100A8,SAR1A,SERPINH1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,XPO4,YWHAH,ZFP91	152 (27)	25
INIP	-2.156	other	ATM,CHEK1,CHEK2,CREB1,E2f,E2F3,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,ING1,INIP,LAMTOR5,MAPK1,MAPK12,MDM4,NBN,NFkB (complex),PLK1,RB1,RELA,SIAH2,SMC3,SRC,TP53,VCP,ZEB1	3	Activated	2.920	1.36E-15	8.30E-03	ABCC1,AK1,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DOCK8,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,EPS15,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,LPL,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PIN1,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RGS1,RPS27L,RRAD,S100A4,S100A8,SAR1A,SERPINH1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,XPO4,YWHAH,ZFP91	152 (28)	25
mir-203	 	microRNA	Akt,AKT1,ERK1/2,JAK1,Mapk,MAPK1,mir-203,RHOA,STAT1,STAT3,STAT5a/b,TP63	3	Inhibited	-4.383	1.52E-15	2.40E-03	APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,AURKA,B2M,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX58,DDX60,DNMT1,EHD1,EIF2AK2,ENG,ERAP1,ERP29,EZR,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,LAP3,MKI67,MMP2,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,PNPT1,POSTN,PRPF4,PSIP1,PSME2,PTPN2,RAB4B,RCC1,RFTN1,RHOC,S100A4,S100A8,SLC2A1,SOD1,SPRY2,STAT2,STIP1,TAP1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP	115 (12)	11
